S.No,Link
0,#bodyContent
1,/wiki/Main_Page
2,/wiki/Wikipedia:Contents
3,/wiki/Portal:Current_events
4,/wiki/Special:Random
5,/wiki/Wikipedia:About
6,//en.wikipedia.org/wiki/Wikipedia:Contact_us
7,https://donate.wikimedia.org/wiki/Special:FundraiserRedirector?utm_source=donate&utm_medium=sidebar&utm_campaign=C13_en.wikipedia.org&uselang=en
8,/wiki/Help:Contents
9,/wiki/Help:Introduction
10,/wiki/Wikipedia:Community_portal
11,/wiki/Special:RecentChanges
12,/wiki/Wikipedia:File_upload_wizard
13,/wiki/Main_Page
14,/wiki/Special:Search
15,/w/index.php?title=Special:CreateAccount&returnto=Main+Page
16,/w/index.php?title=Special:UserLogin&returnto=Main+Page
17,/w/index.php?title=Special:CreateAccount&returnto=Main+Page
18,/w/index.php?title=Special:UserLogin&returnto=Main+Page
19,/wiki/Help:Introduction
20,/wiki/Special:MyContributions
21,/wiki/Special:MyTalk
22,/wiki/Main_Page
23,/wiki/Talk:Main_Page
24,/wiki/Main_Page
25,/w/index.php?title=Main_Page&action=edit
26,/w/index.php?title=Main_Page&action=history
27,/wiki/Main_Page
28,/w/index.php?title=Main_Page&action=edit
29,/w/index.php?title=Main_Page&action=history
30,/wiki/Special:WhatLinksHere/Main_Page
31,/wiki/Special:RecentChangesLinked/Main_Page
32,/wiki/Wikipedia:File_Upload_Wizard
33,/wiki/Special:SpecialPages
34,/w/index.php?title=Main_Page&oldid=1225315602
35,/w/index.php?title=Main_Page&action=info
36,/w/index.php?title=Special:CiteThisPage&page=Main_Page&id=1225315602&wpFormIdentifier=titleform
37,/w/index.php?title=Special:UrlShortener&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FMain_Page
38,/w/index.php?title=Special:QrCode&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FMain_Page
39,https://www.wikidata.org/wiki/Special:EntityPage/Q5296
40,/w/index.php?title=Special:DownloadAsPdf&page=Main_Page&action=show-download-screen
41,/w/index.php?title=Main_Page&printable=yes
42,https://commons.wikimedia.org/wiki/Main_Page
43,https://foundation.wikimedia.org/wiki/Home
44,https://www.mediawiki.org/wiki/MediaWiki
